relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
4,3.1354942159291497,2,0,1,3.970291913552122,0,1,2,35,30,0,0,1,1,0.0,1.0,-74.66158761550825,39.54988897042863
13,3.6375861597263857,5,0,0,3.4657359027997265,1,0,5,35,30,0,0,1,1,6.0,7.0,-74.76604825998332,39.74805101398806
20,3.970291913552122,5,0,1,3.258096538021482,1,2,5,24,30,0,0,1,1,7.0,8.0,-74.60860166505715,39.94443280865898
3,3.367295829986474,2,0,1,3.6375861597263857,1,1,2,35,30,0,0,1,1,10.0,1.0,-74.71400766104158,39.53247516388801
20,4.07753744390572,5,1,1,3.8066624897703196,1,1,5,35,30,0,0,1,1,18.0,2.0,-74.66456105975864,39.612985222203406
1,3.6375861597263857,5,1,1,3.713572066704308,1,1,5,35,21,1,1,1,13,6.0,8.0,-74.6678814778931,39.889742001498945
1,3.6375861597263857,5,1,1,3.713572066704308,1,1,5,35,21,1,1,1,13,6.0,8.0,-74.70366583940253,39.858989623897074
23,3.4339872044851463,5,0,1,3.4965075614664802,1,1,2,35,1,1,1,0,12,22.0,9.0,-74.65945550461683,39.92893409550065
20,4.5217885770490405,5,1,1,3.4339872044851463,1,0,5,35,1,1,1,0,12,15.0,9.0,-74.65309922276269,39.80711884945422
1,3.9512437185814275,5,0,1,4.248495242049359,1,1,5,35,1,1,1,0,12,21.0,9.0,-74.62350669279343,39.85439444456122
20,4.2626798770413155,5,0,1,3.4339872044851463,1,0,5,13,21,1,1,1,13,4.0,9.0,-74.6838155461992,39.84378485925435
20,4.2626798770413155,5,0,1,3.4339872044851463,1,0,5,13,21,1,1,1,13,4.0,9.0,-74.62443307979588,39.94797675311708
20,4.0943445622221,2,1,3,3.8501476017100584,1,0,5,10,37,1,0,0,12,11.0,9.0,-74.65326564024505,39.75619912314809
24,3.6635616461296463,2,1,1,4.02535169073515,0,1,2,22,30,0,0,1,1,23.0,10.0,-74.75465971902598,39.82254619609699
20,3.6635616461296463,5,1,1,3.7612001156935624,1,0,2,25,4,1,1,1,3,9.0,10.0,-74.67286105085239,39.860760929045696
3,3.258096538021482,2,0,2,3.258096538021482,1,2,2,25,26,0,0,1,15,0.0,11.0,-74.7091454234218,39.86052819606088
3,3.4965075614664802,2,0,1,3.4011973816621555,0,1,2,25,30,0,0,1,1,12.0,11.0,-74.73242040552154,39.83760627869082
1,2.8903717578961645,2,0,1,2.995732273553991,1,0,5,25,26,0,0,1,15,23.0,2.0,-74.67267612685472,39.49387372203425
24,3.4657359027997265,5,0,1,3.6109179126442243,0,0,5,25,34,1,1,0,12,11.0,2.0,-74.57151426579622,39.52299517295765
1,4.007333185232471,1,0,1,4.143134726391533,0,1,5,35,18,0,0,1,1,21.0,2.0,-74.691908964713,39.613466264774246
3,3.295836866004329,5,0,1,3.258096538021482,1,1,5,35,30,0,0,1,1,3.0,2.0,-74.68690032205869,39.54700710513843
22,4.499809670330265,1,1,1,4.1588830833596715,0,1,5,35,34,1,1,0,12,8.0,2.0,-74.6095636480803,39.62414741265941
3,3.258096538021482,5,0,1,3.332204510175204,1,1,2,35,30,0,0,1,1,9.0,2.0,-74.70595122730735,39.465589302226505
8,4.430816798843313,1,1,1,4.1588830833596715,0,1,1,35,1,1,1,0,12,14.0,1.0,-74.68319565233206,39.41384793108253
24,4.48863636973214,5,0,1,4.127134385045092,1,1,5,35,31,0,0,1,15,17.0,2.0,-74.69219421056548,39.46035752295031
20,3.332204510175204,5,0,1,2.9444389791664403,1,1,2,35,36,1,1,0,12,0.0,2.0,-74.61459891641601,39.57913727206182
20,3.332204510175204,5,0,1,2.9444389791664403,1,1,2,35,36,1,1,0,12,0.0,2.0,-74.64376585818593,39.50928553225492
3,3.4657359027997265,2,0,1,3.871201010907891,1,1,2,35,30,0,0,1,1,17.0,12.0,-74.63965262032352,39.8679419311575
1,3.2188758248682006,5,1,1,3.332204510175204,0,1,5,35,15,1,1,1,8,8.0,3.0,-74.72815471955178,39.600626131526475
20,3.258096538021482,2,0,1,3.258096538021482,1,0,5,33,36,1,1,0,12,3.0,12.0,-74.73659432291343,39.874784847109986
20,4.127134385045092,5,0,1,3.258096538021482,1,0,5,35,1,1,1,0,12,1.0,12.0,-74.77000838104983,39.870323941499585
20,4.110873864173311,2,1,1,3.091042453358316,1,0,5,16,34,1,1,0,12,16.0,10.0,-74.62876476610258,39.8733159463777
