data_year,bias_id,offense_id
2022,88,188667009
2022,88,188667010
2022,88,188667011
2022,88,188667012
2022,88,178830972
2022,88,188667013
2022,88,178830974
2022,88,188667014
2022,88,188667015
2022,88,188667016
2022,88,181419581
2022,88,188667017
2022,88,188667018
2022,88,188667019
2022,88,188667020
2022,88,188667021
2022,88,188667022
2022,88,188667023
2022,88,188667024
2022,88,188667025
2022,88,188667026
2022,88,188667027
2022,88,188667028
2022,88,188667029
2022,88,188667030
2022,88,188667031
2022,88,188667032
2022,88,188667033
2022,88,188667034
2022,88,188667035
2022,88,188667036
2022,88,188667037
2022,88,188667038
2022,88,188667039
2022,88,188667040
2022,88,188667041
2022,88,188667042
2022,88,188667043
2022,88,188667044
2022,88,188667045
2022,88,188667046
2022,88,188667047
2022,88,188667048
2022,88,188667049
2022,88,188667050
2022,88,188667051
2022,88,188667052
2022,88,188667053
2022,88,188667054
2022,88,188667055
2022,88,188667056
2022,88,188667057
2022,88,188667058
2022,88,188667059
2022,88,188667060
2022,88,188667061
2022,88,188667062
2022,88,188667063
2022,88,188667064
2022,88,188667065
2022,88,188667066
2022,88,188667067
2022,88,188667068
2022,88,188667069
2022,88,188667070
2022,88,188667071
2022,88,188667072
2022,88,188667073
2022,88,188667074
2022,88,188667075
2022,88,188667076
2022,88,188667077
2022,88,188667078
2022,88,188667079
2022,88,188667080
2022,88,188667081
2022,88,188667082
2022,88,188667083
2022,88,188667084
2022,88,188667085
2022,88,188667086
2022,88,188667087
2022,88,188667088
2022,88,188667089
2022,88,188667090
2022,88,188667091
2022,88,188667092
2022,88,188667093
2022,88,188667094
2022,88,188667095
2022,88,188667096
2022,88,188667097
2022,88,188667098
2022,88,188667099
2022,88,188667100
2022,88,188667101
2022,88,188667102
2022,88,188667103
2022,88,188667104
2022,88,188667105
2022,88,188667106
2022,88,188667107
2022,88,188667108
2022,88,188667109
2022,88,188667110
2022,88,188667111
2022,88,188667112
2022,88,188667113
2022,88,188667114
2022,88,188667115
2022,88,188667116
2022,88,188667117
2022,88,191132732
2022,88,191132733
2022,88,191132734
2022,88,191132735
2022,88,191132736
2022,88,191132738
2022,88,191132739
2022,88,191132740
2022,88,191132741
2022,88,191132742
2022,88,191132743
2022,88,191132744
2022,88,191132745
2022,88,191132746
2022,88,191132747
2022,88,191132748
2022,88,191132749
2022,88,191132750
2022,88,191132751
2022,88,191132752
2022,88,191132753
2022,88,191132754
2022,88,191132755
2022,88,191132756
2022,88,191132757
2022,88,191132758
2022,88,191132759
2022,88,191132760
2022,88,191132761
2022,88,191132762
2022,88,191132763
2022,88,191132764
2022,88,191132765
2022,88,181419582
2022,88,191132766
2022,88,191132767
2022,88,191132768
2022,88,191132769
2022,88,191132770
2022,88,191132771
2022,88,191132772
