data_year,criminal_act_id,offense_id
2022,9,196411911
2022,9,196411928
2022,9,196411933
2022,6,196411934
2022,2,196411973
2022,6,196411974
2022,8,196411997
2022,6,196412000
2022,9,196412004
2022,9,196412007
2022,6,196412011
2022,6,196412012
2022,6,196412016
2022,9,196412021
2022,2,196412023
2022,6,196412043
2022,6,196412047
2022,9,196412051
2022,9,188830430
2022,9,196412055
2022,2,198660061
2022,9,200186597
2022,2,202174163
2022,8,182655663
2022,6,182655668
2022,6,182655669
2022,6,182655682
2022,6,182655688
2022,6,182655689
2022,3,182655695
2022,6,182655696
2022,6,182655697
2022,2,182655706
2022,6,182655708
2022,1,182655725
2022,6,182655727
2022,6,182655749
2022,6,182655750
2022,2,182655757
2022,6,182993528
2022,8,188830431
2022,6,178878655
2022,9,187377674
2022,6,182993567
2022,6,182993571
2022,1,182993582
2022,6,182993600
2022,6,182993609
2022,6,184337485
2022,6,184337507
2022,6,184337509
2022,6,184337528
2022,6,186139831
2022,2,186139833
2022,6,186139845
2022,6,186139855
2022,6,186139866
2022,6,186139868
2022,6,186139878
2022,6,186139881
2022,6,186139884
2022,6,186139889
2022,6,186139895
2022,6,186139902
2022,6,186139905
2022,6,186139906
2022,9,178354261
2022,9,184370391
2022,9,186066745
2022,6,178294871
2022,9,178354262
2022,9,178878656
2022,9,178809259
2022,9,178354263
2022,6,187778376
2022,6,187778384
2022,6,187778389
2022,3,187778393
2022,6,189960124
2022,1,187778417
2022,8,187778417
2022,6,187778450
2022,7,187778450
2022,8,187778450
2022,6,187778455
2022,1,187778459
2022,6,187778460
2022,6,187778475
2022,6,189313565
2022,1,189313567
2022,2,189313568
2022,6,189313595
2022,6,189960125
2022,6,178504662
2022,9,202125855
2022,9,179933693
2022,9,187763705
2022,3,178354268
2022,9,178809267
2022,9,181312096
2022,9,186139765
2022,9,186687539
2022,9,185435463
2022,9,183967251
2022,9,185435464
2022,8,185435465
2022,6,190959157
2022,6,189313603
2022,6,189313605
2022,6,189313606
2022,1,189313609
2022,6,178504667
2022,8,178809272
2022,9,178809273
2022,8,189313618
2022,8,179199806
2022,9,178961039
2022,9,185566949
2022,9,183944626
2022,9,178955589
2022,3,179104677
2022,6,189313635
2022,1,189313636
2022,9,178878670
2022,9,187377676
2022,1,182643270
2022,6,182643271
2022,9,190707438
2022,9,178955592
2022,9,186040805
2022,9,198429626
2022,9,187310920
2022,9,185672852
2022,9,178955595
2022,6,178955598
2022,9,185566950
2022,9,180180299
2022,6,180180300
2022,3,179025441
2022,6,179025442
2022,6,179025443
2022,9,178961043
2022,10,191835887
2022,9,185566951
2022,9,179025444
2022,9,197068903
2022,9,185566952
2022,9,179025446
2022,6,198429630
2022,9,185566953
2022,9,199462964
2022,6,179383022
2022,6,179383023
2022,6,179383024
2022,9,190707439
2022,9,187388331
2022,9,190041074
2022,9,187041166
2022,9,185566955
2022,9,188511258
2022,6,188511259
2022,6,181458312
2022,9,185441638
2022,9,185444867
2022,9,179383025
2022,6,179383026
2022,9,185713458
2022,6,189313639
2022,6,179559702
2022,6,179559703
2022,9,180573733
2022,9,184337090
2022,6,179933722
2022,9,190959158
2022,6,189313657
2022,9,198429631
2022,9,179239782
2022,6,179239783
2022,9,179933729
2022,6,189313673
2022,9,179933730
2022,9,179383030
2022,9,179502522
2022,9,179383031
2022,9,190041076
2022,9,179502525
2022,6,179502526
2022,9,185566957
2022,9,182643277
2022,9,185551274
2022,9,182643279
2022,9,179559708
2022,9,196721723
2022,9,180120956
2022,9,179933734
2022,9,185566958
2022,6,181458313
2022,6,181458314
2022,9,185566959
2022,9,180033030
2022,6,180120960
2022,1,189313676
2022,6,190732890
2022,1,190732908
2022,9,182643284
2022,9,185566962
2022,9,185672863
2022,9,199306710
2022,9,183217940
2022,9,182643290
2022,9,181606186
2022,9,185672865
2022,9,185551276
2022,6,185551277
2022,6,181286900
2022,9,181522624
2022,9,182938736
2022,3,182938737
2022,9,181312107
2022,6,190732914
2022,6,190732924
2022,6,190732946
2022,9,180120969
2022,6,190732950
2022,6,190732961
2022,6,190732968
2022,1,190732970
2022,1,189380700
2022,6,192775761
2022,6,192775769
2022,6,192775778
2022,6,192775791
2022,6,192775809
2022,6,192775824
2022,6,192775861
2022,6,192775884
2022,6,192775887
2022,6,180319605
2022,2,192775920
2022,1,192775921
2022,1,192775926
2022,2,192775939
2022,9,191659826
2022,8,181482891
2022,9,185566963
2022,9,181440139
2022,9,180180327
2022,9,181408111
2022,9,185566964
2022,9,199109603
2022,6,194338484
2022,1,194338487
2022,6,194338494
2022,6,194338502
2022,3,194338503
2022,6,194338532
2022,2,194338548
2022,6,194338549
2022,6,194338557
2022,6,194338566
2022,2,194338572
2022,6,195763984
2022,6,195763985
2022,6,195763993
2022,1,195764018
2022,6,195764021
2022,9,180573762
2022,9,180949139
