data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,47174024,,51
2022,47449520,,51
2022,49740314,,51
2022,49740315,,51
2022,49740316,,51
2022,49740317,,51
2022,49740318,,51
2022,49740319,,51
2022,47670209,,51
2022,47670210,,51
2022,47195308,,51
2022,45233150,,51
2022,45088500,,51
2022,45247309,,51
2022,49359489,,51
2022,46291068,,51
2022,46291069,,51
2022,46560215,,51
2022,45230836,,51
2022,45230837,,51
2022,47499380,,51
2022,47194039,,51
2022,45662578,,51
2022,48708073,,51
2022,47194040,,51
2022,47195309,,51
2022,47195310,,51
2022,45105750,,51
2022,48140718,,51
2022,50961719,,51
2022,45230838,,51
2022,45230839,,51
2022,47674823,,51
2022,47216210,,51
2022,45133966,,51
2022,47216211,,51
2022,46560216,,51
2022,50961720,,51
2022,51026033,,51
2022,51026034,,51
2022,45524691,,51
2022,47674824,,51
2022,47674825,,51
2022,47230374,,51
2022,47229247,,51
2022,45279522,,51
2022,45662579,,51
2022,45174440,,51
2022,51238245,,51
2022,51238246,,51
2022,51238248,,51
2022,51238249,,52
2022,51238250,,51
2022,51238251,,51
2022,48140719,,51
2022,48102075,,51
2022,51475517,,51
2022,51475518,,51
2022,51475519,,51
2022,51475520,,51
2022,48102076,,51
2022,48102077,,51
2022,45265328,,51
2022,47959820,,51
2022,47621219,,51
2022,47229248,,51
2022,45662580,,51
2022,47671253,,51
2022,47671254,,51
2022,45223402,,51
2022,47230375,,51
2022,45225229,,51
2022,45265329,,51
2022,47645089,,51
2022,45727268,,51
2022,45230841,,51
2022,48140720,,51
2022,46560642,,51
2022,46560643,,51
2022,46560644,,51
2022,46964807,,51
2022,47509488,,51
2022,47509489,,51
2022,45230843,,51
2022,45230844,,51
2022,46078212,,51
2022,46560645,,51
2022,46560647,,51
2022,46560648,,51
2022,46560649,,51
2022,46560650,,51
2022,46560651,,51
2022,46560652,,51
2022,46560653,,51
2022,46560654,,51
2022,46560655,,51
2022,46560656,,51
2022,46078213,,51
2022,45233151,,51
2022,50338608,,51
2022,47229249,,51
2022,45279523,,51
2022,45247311,,51
2022,45662581,,51
2022,47261703,,51
2022,47261704,,51
2022,47280030,,51
2022,45491502,,51
2022,45405403,,51
2022,50583634,,51
2022,47499382,,51
2022,47499383,,51
2022,45915067,,51
2022,46560658,,51
2022,46765995,,51
2022,46765996,,51
2022,46765997,,51
2022,46765998,,51
2022,46765999,,51
2022,46766000,,51
2022,46766001,,51
2022,46766003,,51
2022,46766004,,51
2022,46766007,,51
2022,46766008,,51
2022,46766009,,51
2022,46766010,,51
2022,46766011,,51
2022,46766012,,51
2022,46766013,,51
