data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,1,157540727,1.000,9,14001064
2022,2,160140480,1.000,9,14351143
2022,5,160130466,2.000,1,14350644
2022,5,156388155,100.500,1,13832764
2022,4,165969671,1.000,11,15147193
2022,4,162466437,1.000,11,14664784
2022,4,162466438,1.000,11,14664785
2022,12,162466461,1.000,11,14664786
2022,4,162497683,30.000,9,14668594
2022,12,162720502,1.000,11,14697611
2022,5,156404494,727.130,1,13835140
2022,5,156404498,2.000,1,13835141
2022,5,156404499,3.000,1,13835142
2022,4,166916479,1.700,1,15289394
2022,1,166916479,1.000,1,15289395
2022,12,156882083,27.000,1,13900908
2022,12,164180611,1.000,11,14898257
2022,16,151606096,6.000,9,13119798
2022,4,157433182,26.000,9,13984040
2022,4,151606300,1.000,9,13119804
2022,12,151606451,1.000,9,13119808
2022,2,151606455,1.000,11,13119809
2022,4,151606463,3.000,9,13119810
2022,2,151606463,1.000,11,13119811
2022,4,156444542,44.500,1,13841045
2022,4,151447087,1.000,9,13095658
2022,2,151447139,1.000,11,13095659
2022,8,151447170,3.000,9,13095660
2022,2,152426319,1.000,11,13248938
2022,12,156444542,6.500,1,13841046
2022,2,163231034,1.000,1,14760399
2022,4,156736822,21.500,1,13881743
2022,4,166867664,49.500,1,15283262
2022,1,166867664,2.000,1,15283263
2022,1,156988081,58.000,9,13915545
2022,1,152426358,1.000,11,13248941
2022,4,156988081,2.000,9,13915546
2022,5,156473438,34.000,1,13846124
2022,4,152426383,10.000,9,13248942
2022,5,152426385,1.000,11,13248943
2022,4,152426417,1.000,11,13248944
2022,4,153331844,4.000,9,13392158
2022,4,153331859,1.000,9,13392159
2022,17,156473438,5.000,9,13846125
2022,1,157220775,50.000,1,13956554
2022,4,153331894,1.000,9,13392161
2022,8,153331899,1.000,9,13392162
2022,5,160130478,456.000,1,14350645
2022,12,155185993,1.000,11,13667011
2022,2,160130478,6.000,1,14350646
2022,5,158248965,470.000,1,14091856
2022,1,155186032,1.000,11,13667012
2022,1,155186059,1.000,11,13667013
2022,4,155186081,1.000,11,13667014
2022,1,157198833,64.000,1,13952538
2022,4,157301290,1.700,1,13965587
2022,1,157232391,7.500,1,13958030
2022,4,157232391,2.600,1,13958031
2022,4,157198835,3.000,1,13952539
2022,4,157469806,30.000,1,13990085
2022,4,157417417,1.000,11,13981827
2022,2,157417425,1.000,11,13981828
2022,16,158456373,1.000,2,14126684
2022,5,157469806,13.000,1,13990086
2022,4,158456406,1.000,11,14126685
2022,4,158456426,1.000,11,14126687
2022,4,158456430,1.000,11,14126688
2022,12,158456468,1.000,11,14126689
2022,1,158456482,1.000,11,14126690
2022,2,158456486,1.000,11,14126691
2022,12,158456486,1.000,11,14126692
2022,4,158456486,1.000,11,14126693
2022,2,160140503,1.000,11,14351144
2022,2,162134223,1.000,11,14626258
2022,1,157743086,8.000,1,14028314
2022,4,160140541,1.000,11,14351145
2022,12,160140545,1.000,11,14351146
2022,2,160140577,1.000,11,14351147
2022,17,160140601,1.000,9,14351148
2022,2,160140616,1.000,11,14351149
2022,2,157743086,13.000,1,14028315
2022,1,157403627,1.000,1,13980044
2022,1,157476132,1.000,1,13990829
2022,1,160755267,1.000,11,14437029
2022,4,160755272,1.000,11,14437030
2022,2,160755296,1.000,11,14437031
2022,1,160755312,1.000,11,14437032
2022,4,160755328,1.000,11,14437033
2022,4,162307462,1.000,1,14648606
2022,5,162307462,1.000,1,14648607
2022,5,166867666,26.000,1,15283264
2022,1,166867666,21.630,1,15283265
2022,1,157640324,3.700,1,14017239
2022,2,160755412,1.000,11,14437034
2022,4,157640324,9.270,1,14017240
2022,1,157469824,1.000,1,13990087
2022,1,162134239,1.000,11,14626260
2022,4,162134239,1.000,11,14626261
2022,2,162134260,1.000,11,14626262
2022,8,162134272,1.000,11,14626263
2022,2,162134344,1.000,11,14626264
2022,1,162134349,1.000,11,14626265
2022,5,163231038,3942.000,9,14760400
2022,5,165173713,1.000,11,15029557
2022,12,165173738,1.000,11,15029559
2022,4,165173743,1.000,11,15029560
2022,16,165173743,1.000,11,15029561
2022,2,165173746,1.000,11,15029562
2022,17,163231038,916.000,9,14760401
2022,5,160130518,3.000,4,14350654
2022,4,160130518,12.000,1,14350655
2022,12,157651712,0.700,1,14018881
2022,8,165173798,1.000,11,15029563
2022,12,165173803,1.000,11,15029564
2022,4,160130526,10.000,1,14350656
2022,1,160130530,0.100,1,14350657
2022,4,164227259,1.500,1,14905539
2022,2,165173846,1.000,11,15029565
2022,12,160130549,1.000,11,14350659
2022,1,158664282,1.000,1,14152852
2022,12,160142463,1.000,1,14351376
2022,4,158664282,10.000,9,14152853
2022,2,158664283,4.000,1,14152854
2022,1,158859164,43.000,1,14177761
