data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,157741417,38,200,,
2022,157741418,42,238,,
2022,157741419,63,300,2022-07-20,
2022,157741420,11,1,,
2022,157741421,42,200,,
2022,157741422,31,100,,
2022,157741423,16,150,,
2022,157741424,63,20,,
2022,157741425,20,25,,
2022,157741426,63,70,,
2022,157741427,3,25000,2022-07-23,
2022,157741428,31,1000,,
2022,157741429,3,64200,,
2022,157741430,9,0,,
2022,157741430,20,150,,
2022,157741430,25,60,,
2022,157741430,51,0,,
2022,157741430,63,50,,
2022,157741431,6,324,,
2022,157741432,3,6000,,
2022,157741433,10,,,
2022,157741434,3,600,,
2022,157741434,38,600,,
2022,157741435,38,500,,
2022,157681856,47,0,,
2022,157681857,8,62,,
2022,157681859,9,0,,
2022,157681859,25,45,,
2022,157681859,47,0,,
2022,157681860,9,0,,
2022,157681862,54,200,,
2022,157681863,54,350,,
2022,157681865,42,200,,
2022,157681867,10,,,
2022,157681868,7,150,,
2022,157681869,36,50,,
2022,157681869,38,2000,,
2022,157681869,63,35,,
2022,157681872,20,9800,,
2022,157681874,3,5000,,
2022,157681876,47,0,,
2022,157681877,19,74,,
2022,157681879,3,250,,
2022,157681880,21,2000,2022-08-27,
2022,157681881,21,2000,,
2022,157681883,63,5000,,
2022,157681884,9,0,,
2022,157681884,20,85,,
2022,157681884,25,30,,
2022,157681886,47,0,2022-08-18,
2022,157681887,47,0,,
2022,157681888,47,0,,
2022,157681889,30,20,,
2022,157681891,16,11,,
2022,157681892,63,500,,
2022,157681895,61,900,,
2022,157681896,20,1000,,
2022,157681898,19,111,,
2022,157681899,62,289,,
2022,157681901,3,1000,,
2022,157681902,29,15000,,
2022,157681903,63,72,,
2022,157681904,10,,,
2022,157681906,63,120,,
2022,157681908,3,250,,
2022,157681909,7,1900,,
2022,157681909,63,1140,,
2022,157681911,3,300,,
2022,157681911,42,400,,
2022,148437488,11,1,,
2022,148437489,21,14349,,
2022,148437490,38,1,,
2022,148437491,8,6,,
2022,148437491,50,25,,
2022,148437492,19,199,2022-01-06,
2022,148437492,42,65,2022-01-06,
2022,148437493,19,199,,
2022,148437493,42,65,,
2022,148437494,42,137,2022-01-09,
2022,148437494,54,758,2022-01-09,
2022,148437495,42,137,,
2022,148437495,54,758,,
2022,148437496,6,20,2022-01-09,
2022,148437496,36,499,2022-01-09,
2022,148437497,6,20,,
2022,148437497,36,499,,
2022,148437498,20,14300,,
2022,148437499,20,18945,,
2022,148437500,36,15,2022-01-13,
2022,148437501,36,60,,
2022,148437502,8,145,,
2022,148437502,16,32,,
2022,148437503,63,75,2022-01-14,
2022,148437504,63,75,,
2022,148437505,20,300,,
2022,148437506,42,318,2022-01-17,
2022,148437507,42,318,,
2022,148437508,36,22,2022-01-18,
2022,148437509,36,22,,
2022,148437510,10,,,
2022,148437510,11,1,,
2022,148437512,20,1162,,
2022,148476998,22,0,,
2022,158417544,63,83,,
2022,158417545,63,83,,
2022,158417546,36,777,,
2022,148476999,21,260,,
2022,148477001,64,2800,,
2022,150431172,37,51000,2022-01-31,
2022,158417547,19,218,,
2022,158417548,4,65,,
2022,158417549,35,250,,
2022,150431173,37,51000,,
2022,150431174,37,18500,2022-01-31,
2022,158417550,4,150,2022-09-03,
2022,158417551,11,1,,
2022,158417552,3,5000,2022-09-03,
2022,158417553,3,5000,,
2022,158417554,43,150,,
2022,158417555,8,422,,
2022,158417556,35,250,,
2022,158417557,63,300,,
2022,158417558,61,50,,
2022,158417559,10,,,
2022,158417560,20,80,2022-09-06,
2022,158417561,20,90,,
2022,158417562,16,460,,
2022,158417563,58,100,,
2022,158417564,20,800,,
2022,158417564,63,100,,
2022,158417565,63,204,,
2022,158417566,19,14,2022-09-09,
2022,158417567,19,14,,
2022,158417568,19,14,,
2022,158417569,8,11,,
2022,158417570,19,374,,
2022,158417571,10,1,,
2022,158417572,9,0,,
2022,158417573,8,37,,
2022,158417574,2,715,,
2022,158417574,8,5682,,
2022,158417574,42,1000,,
2022,158417575,3,1000,,
2022,150431175,37,18500,,
2022,148477006,20,150,,
2022,148477006,25,25,,
2022,148498097,50,63,,
2022,148498099,21,105,,
