data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,181015717,185683554,3,
2022,181015717,185683555,3,
2022,181015719,185683557,24,
2022,181015719,185683558,24,
2022,181015719,185683559,24,
2022,181015726,185683567,21,
2022,181015727,185683568,3,
2022,181015727,185683569,1,
2022,181015728,185683570,3,
2022,181015737,185683578,18,
2022,181015742,185683581,3,
2022,181015743,185683582,3,
2022,181015746,185683584,3,
2022,181015747,185683585,1,
2022,181015748,185683586,14,
2022,181818773,186480475,18,
2022,181818774,186480476,16,
2022,181818776,186480478,3,
2022,181818777,186480479,1,
2022,181818782,186480486,15,
2022,181818783,186480487,1,
2022,181818784,186480487,1,
2022,181818785,186480488,18,
2022,181818786,186480488,18,
2022,170875735,175677098,3,
2022,181818790,186480492,24,
2022,161417496,166302387,16,
2022,181818791,186480492,24,
2022,181818793,186480494,18,
2022,181818801,186480508,18,
2022,181818802,186480509,3,
2022,170041027,174848858,14,
2022,181818803,186480510,3,
2022,181818803,186480511,3,
2022,181818804,186480510,3,
2022,181818804,186480511,3,
2022,169639554,174451610,3,
2022,181818806,186480513,24,
2022,181818806,186480514,24,
2022,170875736,175677099,18,
2022,170875737,175677099,18,
2022,184327338,188956214,17,
2022,161735236,166613125,13,
2022,162326696,167202029,16,
2022,162326697,167202029,16,
2022,162326698,167202029,16,
2022,161735237,166613126,16,
2022,168320597,173141652,24,
2022,164217251,169073235,24,
2022,168320603,173141656,17,
2022,168320608,173141661,26,
2022,168320609,173141662,17,
2022,168320616,173141669,3,
2022,168320630,173141683,15,
2022,168320630,173141684,3,
2022,168320632,173141686,24,
2022,168320636,173141692,3,
2022,168320637,173141693,24,
2022,168320640,173141697,3,
2022,168320641,173141698,24,
2022,168320648,173141705,24,
2022,168320649,173141706,17,
2022,168320652,173141709,24,
2022,168320652,173141710,24,
2022,168320654,173141711,3,
2022,168320659,173141715,24,
2022,168320660,173141716,1,
2022,168320670,173141726,24,
2022,168320675,173141731,1,
2022,168320680,173141737,19,
2022,168320680,173141738,19,
2022,168320681,173141737,19,
2022,168320681,173141738,19,
2022,168320682,173141739,3,
2022,168320683,173141740,3,
2022,168320685,173141742,3,
2022,168654609,173471302,16,
2022,168654619,173471313,3,
2022,168654621,173471315,5,
2022,168654634,173471328,24,
2022,168654641,173471335,14,
2022,168654642,173471335,14,
2022,168654643,173471335,14,
2022,168654649,173471341,26,
2022,168654653,173471345,24,
2022,168654654,173471345,24,
2022,168654665,173471355,24,
2022,168654672,173471362,3,
2022,168654679,173471367,17,
2022,168654683,173471371,3,
2022,168654690,173471379,19,
2022,170154575,174960951,3,
2022,170154588,174960965,24,
2022,170154592,174960969,24,
2022,170154594,174960971,3,
2022,170154597,174960974,18,
2022,164217252,169073235,24,
2022,170154606,174960981,17,
2022,161856978,166732702,3,
