data_year,victim_id,injury_id
2022,170510406,4
2022,168889717,5
2022,170510412,5
2022,172292649,4
2022,172292665,4
2022,172292677,4
2022,172292691,4
2022,172292737,4
2022,172292739,6
2022,172292749,4
2022,172292750,5
2022,172292763,4
2022,172292767,5
2022,172292769,4
2022,172292780,5
2022,172292789,5
2022,179963932,5
2022,179963935,5
2022,179963944,5
2022,179963945,5
2022,179963964,5
2022,179963985,5
2022,162826920,5
2022,179964018,5
2022,179964021,4
2022,171734174,5
2022,179964022,5
2022,179964032,4
2022,179964033,4
2022,162849176,4
2022,179964065,4
2022,179964066,5
2022,163274916,4
2022,179964067,4
2022,175117217,4
2022,175117228,6
2022,175117234,4
2022,175117235,5
2022,175117236,5
2022,175117238,4
2022,175117244,4
2022,175117286,4
2022,175117291,5
2022,175117304,4
2022,175117326,5
2022,175117327,5
2022,176340405,4
2022,176340420,5
2022,176340421,4
2022,176340423,5
2022,176340425,5
2022,176340432,4
2022,176340434,5
2022,176340435,4
2022,176340460,4
2022,162849178,3
2022,176340469,4
2022,176340473,4
2022,176340485,5
2022,176340487,5
2022,176340503,4
2022,176340506,5
2022,179964074,4
2022,179964081,5
2022,179964082,4
2022,179964083,5
2022,179964086,4
2022,179964095,4
2022,179964099,5
2022,179964102,4
2022,179964103,4
2022,179964106,5
2022,179964112,5
2022,179964113,5
2022,172638018,5
2022,172638019,5
2022,172638020,5
2022,172355999,4
2022,172356000,4
2022,179964124,5
2022,179964130,5
2022,179964134,4
2022,179964157,4
2022,179964170,4
2022,179964172,4
2022,179964173,4
2022,179964177,5
2022,179964181,4
2022,179964186,4
2022,179964192,5
2022,179964194,4
2022,179964195,5
2022,179964196,5
2022,179964205,6
2022,179964213,5
2022,164067307,5
2022,163043830,5
2022,163043831,5
2022,171103730,5
2022,179964261,4
2022,179964269,4
2022,179964270,5
2022,179964275,5
2022,179964276,4
2022,179964283,5
2022,179964294,4
2022,179964295,5
2022,179964302,5
2022,179964304,5
2022,179964336,5
2022,182059347,5
2022,182059350,5
2022,182059363,4
2022,182059375,4
2022,171103731,5
2022,182059407,5
2022,182059411,5
2022,182059412,4
2022,182059422,4
2022,182059437,5
2022,182059438,5
2022,182059442,5
2022,182059452,5
2022,182059464,5
2022,182059471,5
2022,182059476,5
2022,182059477,5
2022,182059479,5
2022,182059485,4
2022,182059489,4
2022,182059501,4
2022,182059504,5
2022,182059505,5
2022,172358897,2
2022,168889718,5
2022,171103732,4
2022,182828515,4
2022,178104499,5
2022,163242624,5
2022,174929864,5
2022,162857564,5
2022,186629597,5
2022,171103735,4
2022,171224822,4
